Z_ion,Z_target,E_proj[keV/u],Cross_section[cm2],Uncertainty[%],is_exp,Theory_ID,DOI
1,1,6.816e+00,5.000e-17,50,1,Exp_1960 Fite,https://doi.org/10.1103/PhysRev.119.663
1,1,1.167e+01,9.940e-17,21,1,Exp_1960 Fite,https://doi.org/10.1103/PhysRev.119.663
1,1,2.075e+01,1.360e-16,18,1,Exp_1960 Fite,https://doi.org/10.1103/PhysRev.119.663
1,1,3.084e+01,1.510e-16,19,1,Exp_1960 Fite,https://doi.org/10.1103/PhysRev.119.663
1,1,4.068e+01,1.500e-16,17,1,Exp_1960 Fite,https://doi.org/10.1103/PhysRev.119.663
1,1,6.008e+01,1.915e-16,20,1,Exp_1963 Gilbody,https://doi.org/10.1098/rspa.1964.0010
1,1,8.350e+01,1.605e-16,20,1,Exp_1963 Gilbody,https://doi.org/10.1098/rspa.1964.0010
1,1,8.363e+01,1.786e-16,20,1,Exp_1963 Gilbody,https://doi.org/10.1098/rspa.1964.0010
1,1,9.574e+01,1.469e-16,20,1,Exp_1963 Gilbody,https://doi.org/10.1098/rspa.1964.0010
1,1,1.088e+02,1.401e-16,20,1,Exp_1963 Gilbody,https://doi.org/10.1098/rspa.1964.0010
1,1,1.091e+02,1.211e-16,20,1,Exp_1963 Gilbody,https://doi.org/10.1098/rspa.1964.0010
1,1,1.286e+02,1.106e-16,20,1,Exp_1963 Gilbody,https://doi.org/10.1098/rspa.1964.0010
1,1,1.601e+02,1.018e-16,20,1,Exp_1963 Gilbody,https://doi.org/10.1098/rspa.1964.0010
1,1,1.787e+02,8.362e-17,20,1,Exp_1963 Gilbody,https://doi.org/10.1098/rspa.1964.0010
1,1,1.841e+02,9.211e-17,20,1,Exp_1963 Gilbody,https://doi.org/10.1098/rspa.1964.0010
1,1,1.985e+02,7.460e-17,20,1,Exp_1963 Gilbody,https://doi.org/10.1098/rspa.1964.0010
1,1,2.254e+02,8.521e-17,20,1,Exp_1963 Gilbody,https://doi.org/10.1098/rspa.1964.0010
1,1,2.257e+02,6.595e-17,20,1,Exp_1963 Gilbody,https://doi.org/10.1098/rspa.1964.0010
1,1,2.597e+02,8.220e-17,20,1,Exp_1963 Gilbody,https://doi.org/10.1098/rspa.1964.0010
1,1,2.707e+02,5.964e-17,20,1,Exp_1963 Gilbody,https://doi.org/10.1098/rspa.1964.0010
1,1,2.988e+02,5.626e-17,20,1,Exp_1963 Gilbody,https://doi.org/10.1098/rspa.1964.0010
1,1,3.337e+02,5.425e-17,20,1,Exp_1963 Gilbody,https://doi.org/10.1098/rspa.1964.0010
1,1,3.686e+02,5.428e-17,20,1,Exp_1963 Gilbody,https://doi.org/10.1098/rspa.1964.0010
